Date,Open,High,Low,Close,Adj Close,Volume
1967-09-18,1.140575,1.156851,1.138071,1.155599,0.223171,1847000
1967-09-19,1.154347,1.154347,1.141827,1.150591,0.222204,2855400
1967-09-20,1.150591,1.150591,1.139323,1.140575,0.220270,1238000
1967-09-21,1.140575,1.145583,1.128055,1.128055,0.217852,1767100
1967-09-22,1.128055,1.140575,1.128055,1.140575,0.220270,1397700
1967-09-25,1.140575,1.143079,1.128055,1.128055,0.217852,1028300
1967-09-26,1.128055,1.136819,1.091747,1.096755,0.211807,1717200
1967-09-27,1.099259,1.124299,1.099259,1.116787,0.215676,1307900
1967-09-28,1.119291,1.129307,1.119291,1.120543,0.216401,1297900
1967-09-29,1.121795,1.131811,1.121795,1.123047,0.216885,1128100
1967-10-02,1.123047,1.128055,1.120543,1.123047,0.216885,1108200
1967-10-03,1.123047,1.156851,1.121795,1.153095,0.222688,2725600
1967-10-04,1.153095,1.160607,1.146835,1.150591,0.222204,2206400
1967-10-05,1.150591,1.150591,1.139323,1.143079,0.220753,1158100
1967-10-06,1.140575,1.140575,1.129307,1.129307,0.218094,1018300
1967-10-09,1.129307,1.129307,1.104267,1.115535,0.215434,1727200
1967-10-10,1.115535,1.120543,1.104267,1.104267,0.213258,1847000
1967-10-11,1.104267,1.109275,1.099259,1.099259,0.212291,758700
1967-10-12,1.098007,1.098007,1.070463,1.070463,0.206730,1188000
1967-10-13,1.070463,1.091747,1.056691,1.087991,0.210114,2436000
1967-10-16,1.086739,1.086739,1.062951,1.069211,0.206488,1457600
1967-10-17,1.069211,1.086739,1.069211,1.086739,0.209873,1727200
1967-10-18,1.086739,1.090495,1.067959,1.090495,0.210598,1637300
1967-10-19,1.090495,1.106771,1.077975,1.077975,0.208180,1367800
1967-10-20,1.077975,1.080479,1.071715,1.074219,0.207455,1088200
1967-10-23,1.074219,1.080479,1.059195,1.077975,0.208180,1497600
1967-10-24,1.077975,1.094251,1.076723,1.082983,0.209147,1867000
1967-10-25,1.082983,1.087991,1.064203,1.084235,0.209389,3744000
1967-10-26,1.087991,1.106771,1.087991,1.104267,0.213258,3075000
1967-10-27,1.104267,1.106771,1.092999,1.094251,0.211324,2416100
1967-10-30,1.094251,1.096755,1.080479,1.084235,0.209389,1138100
1967-10-31,1.076723,1.076723,1.061699,1.061699,0.205037,1607400
1967-11-01,1.057943,1.057943,1.004107,1.006611,0.194398,3993600
1967-11-02,1.006611,1.026643,1.005359,1.005359,0.194157,3494400
